;naive;KMP-br;KMP-brs;
100;5315191;14568108;14050979;
200;5400208;14536516;14033395;
300;5369320;14566529;14045671;
400;5361404;14638246;14111404;
500;5417862;14647179;14124899;
600;5358804;14591308;14042608;
700;5352974;14638812;14134579;
800;5382666;14674191;14189079;
900;5347020;14664258;14187295;
1000;5340146;14718008;14251208;
1100;5329179;14722829;14247612;
1200;5328037;14720754;14277641;
1300;5325524;14750766;14308254;
1400;5326483;14768454;14329596;
1500;5318279;14784896;14342729;
1600;5319308;14767662;14397046;
1700;5307358;14852504;14413604;
1800;5307345;14842041;14433092;
1900;5300720;14829191;14486170;
2000;5315279;14882520;14462533;
2100;5294691;14920045;14517270;
2200;5317195;14918804;14581504;
2300;5300067;14959100;14560612;
2400;5290108;14967179;14628758;
2500;5288491;15024537;14621679;
2600;5280795;15021133;14626312;
2700;5279875;15022762;14685700;
2800;5279104;15061229;14634158;
2900;5269970;15055083;14677220;
3000;5266687;15068441;14775054;
